countyname,state,countyssa,eligibles,numberofplans1,numberofplans2,totalenrollees,totalpenetration
ANCHORAGE,AK,2020,22404,0,0,0,0
DENALI,AK,2068,0,0,0,0,0
FAIRBANKS NORTH STAR,AK,2090,5881,0,0,0,0
JUNEAU,AK,2110,3245,0,0,0,0
KENAI PENINSULA,AK,2122,0,0,0,0,0
KETCHIKAN GATEWAY,AK,2130,1537,0,0,0,0
KODIAK ISLAND,AK,2150,459,0,0,0,0
MATANUSKA SUSITNA,AK,2170,6071,0,0,0,0
PRINCE WALES KETCHIK,AK,2201,0,0,0,0,0
SITKA BOROUGH,AK,2220,961,0,0,0,0
VALDEZ CORDOVA,AK,2261,0,0,0,0,0
WRANGELL PETERSBURG,AK,2280,784,0,0,0,0
YUKON KOYUKUK,AK,2290,486,0,0,0,0
AUTAUGA,AL,1000,6883,4,2,529,7.685602208339387
BALDWIN,AL,1010,30437,5,2,2713,8.913493445477544
BARBOUR,AL,1020,4698,1,1,102,2.1711366538952745
BIBB,AL,1030,3840,3,3,590,15.364583333333334
BLOUNT,AL,1040,7191,5,3,1998,27.784730913642054
BULLOCK,AL,1050,1880,1,1,32,1.702127659574468
BUTLER,AL,1060,4228,1,0,21,0.4966887417218543
CALHOUN,AL,1070,23224,1,1,841,3.6212538753014125
CHAMBERS,AL,1080,7380,0,0,0,0
CHEROKEE,AL,1090,4477,1,1,28,0.6254188072369891
CHILTON,AL,1100,6287,4,2,1447,23.015746779067918
CHOCTAW,AL,1110,3185,0,0,0,0
CLARKE,AL,1120,5492,0,0,0,0
CLAY,AL,1130,3007,1,1,64,2.1283671433322247
CLEBURNE,AL,1140,2752,1,1,73,2.6526162790697674
COFFEE,AL,1150,8093,0,0,0,0
COLBERT,AL,1160,11375,0,0,0,0
CONECUH,AL,1170,2865,1,1,272,9.493891797556719
COOSA,AL,1180,2392,1,1,134,5.60200668896321
COVINGTON,AL,1190,8425,0,0,0,0
CRENSHAW,AL,1200,2996,1,1,17,0.5674232309746329
CULLMAN,AL,1210,14850,2,1,640,4.30976430976431
